feature value,n_samples,precision,recall,fbeta
 Private,4527,0.8438287153652393,0.6594488188976378,0.7403314917127072
 ?,353,0.8695652173913043,0.6060606060606061,0.7142857142857143
 Self-emp-not-inc,506,0.8469387755102041,0.6240601503759399,0.7186147186147187
 Local-gov,431,0.822429906542056,0.7272727272727273,0.7719298245614035
 State-gov,291,0.8666666666666667,0.8227848101265823,0.8441558441558442
 Federal-gov,184,0.8461538461538461,0.8208955223880597,0.8333333333333334
 Self-emp-inc,216,0.8760330578512396,0.8833333333333333,0.8796680497925311
 Without-pay,4,0.0,0.0,0.0
 Never-worked,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Some-college,1537,0.8516746411483254,0.6312056737588653,0.725050916496945
 Bachelors,1057,0.8021505376344086,0.8535469107551488,0.8270509977827051
 HS-grad,2056,0.9154929577464789,0.3857566765578635,0.5427974947807934
 10th,187,1.0,0.3333333333333333,0.5
 Masters,336,0.835,0.9027027027027027,0.8675324675324674
 Prof-school,118,0.875,0.9166666666666666,0.8953488372093024
 11th,246,1.0,0.3333333333333333,0.5
 Assoc-voc,255,0.9130434782608695,0.6176470588235294,0.7368421052631579
 9th,96,1.0,0.1111111111111111,0.19999999999999998
 Assoc-acdm,207,0.9555555555555556,0.7543859649122807,0.8431372549019609
 12th,88,1.0,0.4,0.5714285714285715
 7th-8th,124,0.0,0.0,0.0
 5th-6th,75,1.0,0.2857142857142857,0.4444444444444445
 1st-4th,36,1.0,0.3333333333333333,0.5
 Doctorate,87,0.8611111111111112,0.96875,0.911764705882353
 Preschool,8,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Never-married,2118,0.9743589743589743,0.4,0.5671641791044776
 Married-civ-spouse,2974,0.836424957841484,0.7430711610486891,0.7869892899642997
 Widowed,212,1.0,0.21739130434782608,0.3571428571428571
 Divorced,918,0.975,0.42391304347826086,0.5909090909090909
 Separated,215,1.0,0.6470588235294118,0.7857142857142858
 Married-spouse-absent,70,1.0,0.6666666666666666,0.8
 Married-AF-spouse,6,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Adm-clerical,763,0.8076923076923077,0.5431034482758621,0.6494845360824743
 Sales,740,0.8545454545454545,0.6778846153846154,0.7560321715817695
 Farming-fishing,182,1.0,0.47619047619047616,0.6451612903225806
 Handlers-cleaners,261,1.0,0.4117647058823529,0.5833333333333334
 ?,354,0.8695652173913043,0.6060606060606061,0.7142857142857143
 Exec-managerial,815,0.8203125,0.8377659574468085,0.8289473684210525
 Other-service,636,1.0,0.13333333333333333,0.23529411764705882
 Machine-op-inspct,413,0.9523809523809523,0.35714285714285715,0.5194805194805194
 Craft-repair,826,0.9294117647058824,0.47305389221556887,0.626984126984127
 Prof-specialty,859,0.8375634517766497,0.859375,0.8483290488431876
 Tech-support,192,0.896551724137931,0.8387096774193549,0.8666666666666666
 Transport-moving,321,0.8695652173913043,0.37037037037037035,0.5194805194805194
 Protective-serv,126,0.8387096774193549,0.5777777777777777,0.6842105263157895
 Priv-house-serv,25,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Not-in-family,1643,0.9722222222222222,0.4117647058823529,0.5785123966942148
 Husband,2610,0.842512077294686,0.7421276595744681,0.7891402714932128
 Other-relative,204,1.0,0.6,0.7499999999999999
 Own-child,1016,1.0,0.21428571428571427,0.35294117647058826
 Unmarried,726,1.0,0.4583333333333333,0.6285714285714286
 Wife,314,0.7862068965517242,0.75,0.7676767676767676
feature value,n_samples,precision,recall,fbeta
 White,5607,0.8453695836873407,0.6967787114845938,0.763915547024952
 Black,630,0.9298245614035088,0.6022727272727273,0.7310344827586207
 Asian-Pac-Islander,172,0.7619047619047619,0.7619047619047619,0.7619047619047619
 Amer-Indian-Eskimo,59,1.0,0.625,0.7692307692307693
 Other,45,1.0,0.6666666666666666,0.8
feature value,n_samples,precision,recall,fbeta
 Female,2150,0.8315217391304348,0.6095617529880478,0.7034482758620689
 Male,4363,0.8498635122838945,0.708649468892261,0.7728589160115846
feature value,n_samples,precision,recall,fbeta
 United-States,5853,0.8479931682322801,0.686247408431237,0.7585943468296409
 China,13,1.0,0.75,0.8571428571428571
 Greece,6,1.0,1.0,1.0
 ?,119,0.7391304347826086,0.7083333333333334,0.723404255319149
 England,22,1.0,0.625,0.7692307692307693
 South,12,0.5,1.0,0.6666666666666666
 Mexico,125,1.0,0.6666666666666666,0.8
 Peru,4,1.0,1.0,1.0
 Iran,11,0.8571428571428571,1.0,0.923076923076923
 Poland,19,0.6666666666666666,0.6666666666666666,0.6666666666666666
 Dominican-Republic,13,0.0,0.0,0.0
 Philippines,33,0.75,0.75,0.75
 France,8,0.5,1.0,0.6666666666666666
 El-Salvador,14,0.0,0.0,0.0
 Nicaragua,8,1.0,1.0,1.0
 Cuba,29,1.0,0.875,0.9333333333333333
 Italy,14,0.75,0.75,0.75
 Germany,24,0.8571428571428571,0.6666666666666666,0.75
 Jamaica,17,1.0,1.0,1.0
 Guatemala,10,0.0,0.0,0.0
 Honduras,2,0.0,0.0,0.0
 Japan,10,1.0,0.5,0.6666666666666666
 Puerto-Rico,24,1.0,1.0,1.0
 Ecuador,7,1.0,1.0,1.0
 Trinadad&Tobago,6,0.0,0.0,0.0
 India,24,0.8181818181818182,0.8181818181818182,0.8181818181818182
 Outlying-US(Guam-USVI-etc),6,0.0,0.0,0.0
 Portugal,7,0.0,0.0,0.0
 Haiti,8,1.0,0.5,0.6666666666666666
 Columbia,5,0.0,0.0,0.0
 Canada,18,0.8571428571428571,1.0,0.923076923076923
 Thailand,2,0.0,0.0,0.0
 Vietnam,9,0.0,0.0,0.0
 Taiwan,8,0.75,1.0,0.8571428571428571
 Laos,3,0.0,0.0,0.0
 Hungary,3,0.0,0.0,0.0
 Hong,4,1.0,1.0,1.0
 Yugoslavia,3,1.0,1.0,1.0
 Holand-Netherlands,1,0.0,0.0,0.0
 Cambodia,1,0.0,0.0,0.0
 Ireland,4,1.0,1.0,1.0
 Scotland,4,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4533,0.8748466257668711,0.6829501915708812,0.7670790747713825
 ?,388,0.896551724137931,0.6046511627906976,0.7222222222222221
 Local-gov,384,0.8543689320388349,0.7857142857142857,0.8186046511627907
